Build ./bin/ssvnode
Build ./config/config.yaml
Build 
Command --config=./config/config.yaml --share-config=./config/share2.yaml
Running node on address: 84.110.33.146)
2022-09-14T13:48:07.914119Z	[35mDEBUG[0m	msgqueue/queue.go:122	message added to queue	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "who": "msg_q", "indices": [{"Name":"signed_index","Mt":0,"ID":"855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e127100000000","H":76,"S":0,"Cmt":3}]}
2022-09-14T13:48:07.914165Z	[35mDEBUG[0m	msgqueue/queue.go:122	message added to queue	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "who": "msg_q", "indices": [{"Name":"signed_index","Mt":0,"ID":"855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e127100000000","H":77,"S":0,"Cmt":3}]}
2022-09-14T13:48:07.914178Z	[34mINFO[0m	controller/controller_change_round.go:51	successfully loaded change round messages from storage into queue	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "pubKey": "855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271", "node_id": 2, "role": "ATTESTER", "read mode": false, "msgs": {"1":2,"2":5,"3":2,"4":2}}
2022-09-14T13:48:07.920157Z	[35mDEBUG[0m	operator/node.go:241	reporting operators	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "count": 551}
2022-09-14T13:48:07.920215Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "pkHash": "27ab013ff1ef1ad92eaa53ef51ac59b3860184dd7b8af61cef0d7a38bec1154f", "name": "BloxStaking1", "index": 1}
2022-09-14T13:48:07.920247Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "pkHash": "c44b9f9c264d60a0b99797e03328044cba9a91af16a380f6f2ae155a6d6dff03", "name": "OlegIsAsook", "index": 10}
2022-09-14T13:48:07.920259Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "pkHash": "376028a9b79258347cc7e9c8b11e622eb1d79d860a8bb9594916101cfde6a8a1", "name": "Laine", "index": 100}
2022-09-14T13:48:07.920270Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "pkHash": "9a1f6a90f678938659ec28b3d15a134d67da116b612749507abe828049dfdde6", "name": "operator", "index": 101}
2022-09-14T13:48:07.920280Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "pkHash": "7887b70365d50892d36d92f9849fd416af152840505a10f753420191968fb154", "name": "Zuka", "index": 102}
2022-09-14T13:48:07.920290Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "pkHash": "3a2b71ab3600caac97f64ccbad281c58a95060ee4511e1abfd41236a1bf94cc2", "name": "LiverSSV", "index": 103}
